"Date","Norway","Israel","India","France","United.Kingdom","Italy","Poland","Austria","Japan","Argentina","Korea","Switzerland","Russia","China","Saudi.Arabia","Sweden","Singapore","Germany","Belgium","Mexico","Thailand","Brazil","Türkiye","Indonesia","Netherlands","Canada","Ireland","United.States","Spain"
1月 2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2月 2001,0.739465510431422,-0.292277008709725,-0.000409159997124328,0.076148397763314,0.0243313053905477,0.305515060330223,0.166749534944182,0.258264773263528,-0.0382947273133915,-0.28520352459874,0.255105552843383,-0.076876803898601,1.81411327092097,-0.62706931007731,-0.0859936243052057,0.26533606893815,-0.266613276626754,0.23754486605273,0.192962137216665,0.225152715950186,0.175100472485306,0.368480903201973,2.86917362971192,1.22510346851611,0.376618888054777,0.265624143259795,0.44597904109875,0.0278258551657876,0.284333031584018
3月 2001,0.248561766877462,0.242809709999323,-0.141616368051431,0.248794391169149,0.245803790635082,0.0537517444050692,0.421129424842763,0.0581335753770398,-0.36013979918417,-0.506900665831006,0.384487380723077,0.106924155304147,1.87643268097321,0.333298551054847,0.0826655426552494,0.17239674136501,0.1646907891731,0.10665317978997,0.354852829900832,0.449474623655769,0.064904119709939,0.366741992937698,4.13181092342518,1.21686059671976,0.341752927118521,0.182237761139119,0.474837213187044,0.0310985436162472,-0.0596446021780496
4月 2001,0.576571018150636,0.170259517931055,0.259519438025397,0.374770598748953,0.254241511492506,0.295751307136571,0.626490192632301,0.434534919399759,-0.174197110212608,-0.1861326727654,0.368377487235817,-0.348643401331407,1.83998705584959,0.347437660085735,0.0619418021445712,0.728287281255505,-0.0656379226827907,0.300087263097347,0.641176797593252,0.562004635691405,0.318622858229615,0.572533833370267,11.1997179145686,1.2856503911688,0.368765916177038,0.673012280831667,0.627020742211687,0.206063188248782,-0.271328380813518
5月 2001,0.619857631244459,0.242290595794179,0.295725265394294,0.52498285795185,0.705164556274633,0.244895121275226,0.993323671249887,0.244670833044155,-0.149092942222261,-0.23818358015045,0.306059526037361,0.545320678030634,1.7776679406593,0.0743287890733714,-0.141720069700777,0.709334576394595,-0.168804951883068,0.443768963011868,0.586571018874897,0.697146636857039,0.102749053364913,0.81985677985845,4.48642585118599,1.05262281787068,0.460462759910258,0.625610436074788,0.736104983519866,0.484779928722955,0.341079932082711
6月 2001,0.138536818799299,0.302991520701592,0.144419175047398,0.251934676222851,0.214758892592004,0.322593121444586,0.0448941132852517,0.18064384613391,-0.0907332128987458,-1.01048497418903,0.486990763525383,0.22705583952764,1.7648744294991,-0.0985337562077289,0.123032590932569,0.141928183445676,0.0878191906805644,0.148979919230302,0.342419541830689,0.389707810402762,0.0577638994650864,0.905927015863291,5.73502916941207,1.8744004898013,0.217315574926928,0.200669410516537,0.409543972550095,0.211498718984183,0.482217871285275
7月 2001,-1.01666625175195,0.153404070065442,0.211140157519168,0.0518421218539589,-0.289509611409834,0.140958230605966,0.13869656619283,0.218161549939909,-0.0291507089998741,-0.605046225855123,0.327909567286055,0.649757413585121,0.72914923833062,0.0485336600348605,-0.474028494159571,-0.0269289728018672,-0.0362111619579456,0.0968271416459372,-0.0769932515588237,-0.0270658677733493,0.064124202357064,1.14343082170567,3.12805074129799,2.06351873430753,0.162339071764029,-0.263416587214201,0.477362517931689,-0.0881251300700793,1.11351883522957
8月 2001,0.131970062650961,0.487579469101402,-0.0095479628141782,-0.0340857901802588,0.199929501806502,0.0255258640874722,0.173063682819353,-0.216065410362381,-0.0274362972276348,0.0180781368937394,0.181992017177927,-0.617808374600216,1.11448469832396,-0.222311126858747,-0.139120715673175,0.285630572150013,-0.0245055360041982,-0.0335957256211691,0.0145389980376354,0.535708526496521,-0.243988094166766,0.979163249947631,0.156474381168329,0.129132881963753,0.21605415866793,-0.0520654106635108,-0.103375488726608,-0.0758361764809259,0.0632354647044366
9月 2001,-0.0955525783885128,0.499540946406931,0.0906173471283688,0.103613820766861,0.129077144770359,0.0630930818532492,0.0989586104101012,0.373834310784959,-0.166755690169522,0.0456236226315126,-0.354264269304868,0.0358178905565694,1.26104729617308,-0.0267303196477442,0.00756164300877992,0.174481088391425,-0.115147843877972,0.0747632482601577,0.165889549058472,0.667396582482334,0.333471876630818,0.584009599614821,8.4481366428051,0.850813164927833,0.297871527441895,0.327910125863476,0.53761070312855,0.302736385912522,-0.0294947793805119
10月 2001,-0.0928099495302783,0.085393136805623,0.596035308293871,0.064809879120663,-0.239215890388959,0.251204392525229,0.0935627506547787,0.0214799132822113,-0.105256840742577,0.41904016307566,0.312680721874515,-0.652780852815145,1.01829891522806,0.0340318732445484,0.0382417160113965,-0.314191592758505,-0.138188251986415,0.069984555232671,0.170645309468028,0.352720732281715,-0.319568049600819,0.708321815262773,6.37796177028152,0.836390076445365,0.300145367096449,-0.347417496779352,0.290105537892764,-0.157712768004979,-0.593443017025012
11月 2001,-0.0732608718105509,-0.0405600308792048,0.0673658410636055,-0.105555409513314,0.0391397389669428,0.142009409949429,0.13248129528155,0.153564602139524,-0.0885844637405886,0.445644717169418,0.0432507782313643,0.390855295745039,1.11202318104855,-0.163634410231304,-0.113461915363289,0.426814723863444,-0.223725115154308,0.162378199440054,0.168500804488837,0.0404291136825984,0.062788063755269,0.565762862519391,4.44699659226824,0.773933859971527,0.301008601892973,-0.887638202289483,0.19777951997594,0.139427048382039,0.0461796192408905
